,Survived,Age_new,Child_new,Fare_new,Sex_new,Alone_new
0,0,1.0,0,0,0,0
1,1,3.0,0,3,1,0
2,1,1.0,0,1,1,1
3,1,2.0,0,3,1,0
4,0,2.0,0,1,0,1
5,0,2.0,0,1,0,1
6,0,3.0,0,3,0,1
7,0,0.0,1,2,0,0
8,1,1.0,0,1,1,0
9,1,0.0,0,2,1,0
10,1,0.0,1,2,1,0
11,1,3.0,0,2,1,1
12,0,0.0,0,1,0,1
13,0,3.0,0,3,0,0
14,0,0.0,0,0,1,1
15,1,3.0,0,2,1,1
16,0,0.0,1,2,0,0
17,1,2.0,0,1,0,1
18,0,2.0,0,2,1,0
19,1,3.0,0,0,1,1
20,0,2.0,0,2,0,1
21,1,2.0,0,1,0,1
22,1,0.0,0,1,1,1
23,1,1.0,0,3,0,1
24,0,0.0,1,2,1,0
25,1,3.0,0,3,1,0
26,0,2.0,0,0,0,1
27,0,0.0,0,3,0,0
28,1,1.0,0,0,1,1
29,0,2.0,0,0,0,1
30,0,3.0,0,2,0,1
31,1,3.0,0,3,1,0
32,1,1.0,0,0,1,1
33,0,3.0,0,1,0,1
34,0,1.0,0,3,0,0
35,0,3.0,0,3,0,0
36,1,2.0,0,0,0,1
37,0,0.0,0,1,0,1
38,0,0.0,0,2,1,0
39,1,0.0,0,1,1,0
40,0,3.0,0,1,1,0
41,0,1.0,0,2,1,0
42,0,2.0,0,0,0,1
43,1,0.0,1,3,1,0
44,1,0.0,0,0,1,1
45,0,2.0,0,1,0,1
46,0,2.0,0,2,0,0
47,1,1.0,0,0,1,1
48,0,2.0,0,2,0,0
49,0,0.0,0,2,1,0
50,0,0.0,1,3,0,0
51,0,0.0,0,0,0,1
52,1,3.0,0,3,1,0
53,1,1.0,0,2,1,0
54,0,3.0,0,3,0,0
55,1,2.0,0,3,0,1
56,1,0.0,0,1,1,1
57,0,1.0,0,0,0,1
58,1,0.0,1,2,1,0
59,0,0.0,0,3,0,0
60,0,1.0,0,0,0,1
61,1,3.0,0,3,1,1
62,0,3.0,0,3,0,0
63,0,0.0,1,2,0,0
64,0,2.0,0,2,0,1
65,1,0.0,1,2,0,0
66,1,1.0,0,1,1,1
67,0,0.0,0,1,0,1
68,1,0.0,0,1,1,0
69,0,1.0,0,1,0,0
70,0,2.0,0,1,0,1
71,0,0.0,0,3,1,0
72,0,0.0,0,3,0,1
73,0,1.0,0,2,0,0
74,1,2.0,0,3,0,1
75,0,1.0,0,0,0,1
76,0,2.0,0,0,0,1
77,0,2.0,0,1,0,1
78,1,0.0,1,2,0,0
79,1,2.0,0,1,1,1
80,0,1.0,0,1,0,1
81,1,1.0,0,1,0,1
82,1,1.0,0,0,1,1
